CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,imcome_cat,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
708082083,0,45,F,3,High School,Married,Less than $40K,Blue,36,4,3,3,3544.0,,1883.0,0.831,,111.0,0.734,0.469
708083283,1,58,M,0,Unknown,Single,$40K - $60K,Blue,45,3,1,3,3421.0,2517.0,904.0,0.992,992.0,21.0,0.4,
708084558,1,46,M,3,Doctorate,Divorced,$80K - $120K,Blue,38,6,3,3,8258.0,1771.0,6487.0,,1447.0,23.0,0.0,0.214
708085458,0,34,F,2,Uneducated,Single,Less than $40K,Blue,24,6,2,2,1438.3,0.0,1438.3,0.827,3940.0,82.0,0.952,0.0
708086958,0,49,F,2,Uneducated,Married,Unknown,Blue,41,3,5,2,3128.0,749.0,2379.0,0.598,,,,0.239
708098133,0,32,F,0,Graduate,Married,Less than $40K,Blue,19,6,1,0,2834.0,,1416.0,1.458,1598.0,,0.773,0.5
708099183,0,37,F,2,High School,Single,Less than $40K,Blue,36,4,2,2,5723.0,1873.0,3850.0,,2732.0,,0.853,0.327
708100533,0,55,F,3,College,Single,Less than $40K,Blue,36,3,3,3,2679.0,2277.0,402.0,0.736,,,0.735,
708103608,0,52,M,1,High School,Single,$60K - $80K,Blue,45,1,5,1,11898.0,2517.0,9381.0,0.745,,128.0,0.73,0.212
708104658,0,46,M,1,Graduate,Unknown,$40K - $60K,Blue,36,4,3,2,1438.3,890.0,548.3,1.143,2928.0,48.0,1.4,
708108333,1,47,F,3,Graduate,Married,Unknown,Blue,36,3,3,1,5590.0,,5590.0,0.01,1507.0,32.0,0.0,0.0
708113208,0,53,F,1,High School,Married,Less than $40K,Blue,36,3,2,2,1688.0,0.0,1688.0,,4375.0,,0.605,0.0
708117933,1,44,F,2,Graduate,Divorced,,Blue,36,3,2,3,1880.0,0.0,1880.0,0.519,,34.0,0.417,
708119658,0,49,F,4,Graduate,Married,$40K - $60K,Blue,38,4,2,1,12836.0,1034.0,11802.0,0.663,,53.0,,
708121908,1,48,,4,Unknown,Married,$80K - $120K,Blue,36,2,3,2,22917.0,,22917.0,0.574,2045.0,,,0.0
708123033,0,41,F,3,Graduate,Single,Less than $40K,Silver,30,2,1,1,11463.0,0.0,11463.0,0.908,14511.0,105.0,0.721,
708125733,0,46,F,2,College,Divorced,Less than $40K,Blue,36,4,3,1,1438.3,0.0,1438.3,0.906,4311.0,77.0,0.833,0.0
708128733,0,50,F,3,Post-Graduate,Single,Unknown,Blue,36,5,4,3,1814.0,0.0,1814.0,0.852,5014.0,99.0,0.623,0.0
708129933,0,45,F,4,Graduate,Single,,Blue,36,5,3,2,2072.0,,528.0,0.903,4210.0,64.0,0.939,
708132783,0,47,F,3,Uneducated,Single,Unknown,Blue,42,6,2,2,16411.0,1179.0,15232.0,0.849,3929.0,71.0,,0.072
708134283,0,35,M,2,Uneducated,Married,Less than $40K,Blue,36,4,3,3,3131.0,629.0,2502.0,0.749,1483.0,31.0,0.632,
708136908,0,62,F,0,Graduate,Single,Less than $40K,Blue,53,5,2,2,2616.0,801.0,1815.0,0.719,4655.0,68.0,0.511,0.306
708139833,1,40,M,3,Graduate,Unknown,$60K - $80K,Blue,30,4,2,3,6391.0,0.0,6391.0,0.632,2323.0,44.0,,0.0
708145908,0,61,F,0,Graduate,Married,$40K - $60K,Blue,50,3,3,0,4906.0,2185.0,2721.0,0.66,3999.0,71.0,1.088,0.445
708147108,0,26,M,0,Graduate,Divorced,Unknown,Blue,36,6,1,3,21084.0,2517.0,18567.0,0.763,2309.0,,0.543,0.119
708148158,0,39,F,4,Unknown,Married,Unknown,Blue,21,2,3,2,1827.0,0.0,1827.0,0.563,4207.0,,0.792,
708151008,0,49,F,4,Graduate,Married,$40K - $60K,Blue,41,5,1,2,6250.0,,5606.0,,2433.0,41.0,,
708153558,0,46,,5,Doctorate,Divorced,$120K +,Blue,31,1,2,2,34516.0,1802.0,32714.0,0.871,7936.0,101.0,0.485,
708154833,1,39,F,2,Graduate,Single,Less than $40K,Blue,27,1,3,3,1438.3,811.0,627.3,,2336.0,,0.278,0.564
708155733,0,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634.0,13100.0,0.989,1289.0,23.0,0.917,0.111
708158133,1,45,M,3,College,Married,$80K - $120K,Blue,36,3,2,2,3031.0,2517.0,514.0,0.409,2188.0,,0.389,0.83
708161133,0,45,M,1,Graduate,Single,,Blue,32,5,1,2,6629.0,,5240.0,0.828,3891.0,69.0,0.643,0.21
708162558,0,64,F,0,Uneducated,Married,Unknown,Blue,54,6,1,2,3250.0,1992.0,1258.0,,1355.0,,0.565,0.613
708163758,0,41,M,3,Unknown,Married,$120K +,Blue,33,2,4,3,34516.0,638.0,33878.0,0.724,13085.0,139.0,0.675,0.018
708171858,0,33,F,3,Post-Graduate,Married,$40K - $60K,Blue,28,5,2,3,1864.0,1081.0,783.0,,2607.0,44.0,1.75,0.58
708174708,0,38,M,4,Graduate,Married,$40K - $60K,Blue,27,6,2,4,5535.0,,4259.0,0.636,,,,0.231
708176208,0,48,F,1,Graduate,Married,,Blue,36,4,4,1,7268.0,0.0,7268.0,,,80.0,0.905,
708177333,0,51,F,2,High School,Married,,Silver,36,5,3,0,11261.0,,8776.0,0.736,1158.0,26.0,0.857,
708178608,0,31,F,0,Graduate,Married,Unknown,Blue,36,4,2,2,2488.0,0.0,2488.0,1.05,4226.0,,,
708186933,1,33,M,1,Graduate,Single,,Blue,36,4,3,2,1819.0,725.0,1094.0,0.737,2254.0,45.0,0.406,
708190158,1,38,F,3,High School,Single,,Blue,26,2,3,0,2920.0,2426.0,494.0,0.983,2750.0,41.0,0.367,0.831
708193008,0,41,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,3,4,14480.0,0.0,14480.0,0.703,1616.0,43.0,0.654,0.0
708195633,0,40,M,2,High School,Unknown,$80K - $120K,Silver,32,5,2,3,34516.0,1182.0,33334.0,0.613,2440.0,54.0,0.543,
708197358,1,57,M,2,Uneducated,Unknown,$80K - $120K,Blue,48,4,1,3,30543.0,264.0,30279.0,0.882,,,0.703,0.009
708204033,0,36,F,5,Unknown,Single,Less than $40K,Blue,24,3,1,1,2980.0,2093.0,887.0,0.522,4132.0,70.0,,0.702
708205083,0,38,F,1,High School,Married,Less than $40K,Blue,28,6,4,3,1438.3,0.0,1438.3,0.767,,81.0,,
708207783,0,50,F,3,High School,Single,Less than $40K,Blue,42,1,3,2,1477.0,0.0,1477.0,0.685,,80.0,,
708208758,0,53,M,1,Graduate,Single,$80K - $120K,Blue,45,6,3,2,1826.0,,943.0,,,48.0,1.0,0.484
708212658,0,38,F,3,Graduate,Married,Less than $40K,Blue,18,6,3,2,2193.0,1260.0,933.0,,,47.0,0.567,0.575
708216108,0,56,,1,College,Married,$40K - $60K,Blue,44,5,1,4,4088.0,,2531.0,,,,0.857,0.381
708217758,0,63,M,2,Graduate,Married,$60K - $80K,Blue,49,5,2,3,14035.0,2061.0,11974.0,2.271,1606.0,30.0,1.5,0.147
708219108,0,49,M,3,College,Divorced,$80K - $120K,Blue,38,2,3,3,9959.0,1143.0,8816.0,,7300.0,77.0,0.638,0.115
708223383,1,47,F,3,High School,Married,Unknown,Blue,39,6,3,4,11410.0,979.0,10431.0,1.049,2736.0,38.0,0.462,0.086
708224133,0,61,M,0,Uneducated,Single,,Blue,49,1,2,3,2228.0,1480.0,748.0,0.533,4431.0,,0.651,0.664
708225483,0,47,M,4,Graduate,Married,$80K - $120K,Blue,36,3,2,4,11242.0,,9681.0,0.829,,81.0,0.8,0.139
708226833,0,53,M,1,High School,Married,$120K +,Gold,44,1,6,3,34516.0,831.0,33685.0,0.727,13247.0,,0.754,
708229308,1,49,F,2,Unknown,Married,Less than $40K,Blue,41,5,2,2,3243.0,0.0,3243.0,,6059.0,,0.821,0.0
708234558,0,55,,2,College,Divorced,Less than $40K,Blue,43,5,2,1,2239.0,,899.0,0.658,4540.0,73.0,0.587,
708238833,0,57,F,3,High School,Married,Less than $40K,Blue,36,6,2,3,3032.0,2215.0,817.0,,1387.0,30.0,0.579,0.731
708241233,1,52,F,3,Post-Graduate,Single,Less than $40K,Blue,47,3,3,2,2972.0,0.0,2972.0,1.035,922.0,25.0,0.562,0.0
708242283,0,29,M,1,College,Single,,Blue,36,5,3,2,5346.0,0.0,5346.0,,3253.0,,,0.0
708243483,0,53,M,3,College,Married,$120K +,Blue,43,4,2,5,14938.0,1155.0,13783.0,0.995,2248.0,,,0.077
708244458,0,47,,2,Unknown,Married,Less than $40K,Blue,35,3,3,2,2793.0,1517.0,1276.0,0.712,3485.0,,0.895,0.543
708245808,0,35,M,3,Graduate,Married,$60K - $80K,Blue,36,4,1,4,19671.0,,18747.0,0.82,13908.0,124.0,0.676,0.047
708252108,0,64,M,0,College,Single,$40K - $60K,Blue,53,6,3,2,7362.0,1907.0,5455.0,0.693,4065.0,,0.711,0.259
708260208,0,43,F,5,Uneducated,Single,Less than $40K,Blue,36,4,3,2,2057.0,1279.0,778.0,0.562,4321.0,,0.689,
708266883,1,34,F,2,Graduate,Single,,Blue,36,1,2,3,1666.0,0.0,1666.0,0.713,2312.0,,0.25,
708267858,0,65,F,0,High School,Married,$40K - $60K,Blue,36,5,2,3,6088.0,2145.0,3943.0,1.371,2098.0,,,
708269583,0,42,F,3,Uneducated,Divorced,Less than $40K,Blue,28,6,2,4,2029.0,1377.0,652.0,,4014.0,,0.686,0.679
708272808,0,45,M,5,Graduate,Single,Less than $40K,Blue,36,4,2,1,2718.0,,1244.0,,3542.0,59.0,0.639,0.542
708273858,0,40,M,3,Graduate,Divorced,$120K +,Blue,30,3,2,1,34516.0,,34516.0,,3734.0,80.0,0.86,0.0
708276183,1,52,F,3,Post-Graduate,Married,Less than $40K,Blue,45,2,4,1,1760.0,0.0,1760.0,0.046,1554.0,,0.029,0.0
708281433,0,57,,2,Graduate,Married,Less than $40K,Blue,36,5,1,3,1438.3,0.0,1438.3,,3848.0,75.0,0.705,0.0
708285108,0,42,M,4,Graduate,Single,$40K - $60K,Blue,36,1,1,2,6128.0,2239.0,3889.0,,13505.0,116.0,,
